Message,Label
"Win a free brand new car click this link now",spam
"Hey are you coming to dinner tonight?",ham
"URGENT your bank account is locked verify your password",spam
"Can we reschedule our project meeting to 3pm?",ham
"Congratulations you won $1000 cash prize claim today",spam
"Don't forget to buy milk on your way home",ham
"Exclusive lottery bonus enter your phone number to win",spam
"See you at the library tomorrow morning",ham
"Special credit card loan approved click to collect cash",spam
"What was the homework assignment for math class?",ham
"Free vacation tickets to Bahamas call immediately",spam
"Thanks for sending the lecture notes over",ham
"Alert unauthorized transaction on credit card click link",spam
"Happy birthday hope you have an amazing day",ham
"Double your bitcoin in 24 hours guaranteed profits",spam
"The train is delayed by 15 minutes",ham
"Instant cash transfer available claim your prize money",spam
"Let's grab lunch after work at noon",ham
"You have been chosen for a secret reward click here",spam
"Did you finish reviewing the presentation slides?",ham
