Study_Hours,Attendance_Pct,Sleep_Hours,Previous_Score,Passed
1.0,45,5.0,40,No
1.5,50,6.0,45,No
2.0,55,5.5,50,No
2.5,60,6.0,52,No
2.0,70,7.0,48,No
3.0,75,8.0,60,Yes
3.5,80,7.5,65,Yes
4.0,70,6.0,62,Yes
4.5,85,7.0,70,Yes
5.0,80,6.5,72,Yes
5.5,90,8.0,78,Yes
6.0,85,7.0,80,Yes
6.5,95,7.5,85,Yes
7.0,90,8.0,88,Yes
7.5,95,8.5,92,Yes
1.0,80,4.0,42,No
2.0,40,5.0,45,No
3.0,60,6.0,55,No
3.5,65,7.0,58,Yes
4.0,80,7.5,68,Yes
4.5,75,8.0,71,Yes
5.0,90,7.0,75,Yes
5.5,85,6.5,82,Yes
6.0,95,8.0,86,Yes
6.5,90,7.5,89,Yes
1.5,65,5.5,46,No
2.5,55,6.5,49,No
3.5,85,7.0,64,Yes
5.0,70,6.0,69,Yes
7.0,95,8.0,91,Yes
